GAME_DATE,SEASON_ID,team,elo_before,is_home,season_label
2021-05-01,22020,TOR,1465.3070470024372,0,2020-21
2021-05-02,22020,TOR,1463.0702063142537,0,2020-21
2021-05-04,22020,TOR,1475.3944841419284,0,2020-21
2021-05-06,22020,TOR,1472.3272124195605,1,2020-21
2021-05-08,22020,TOR,1467.1954850130214,1,2020-21
2021-05-11,22020,TOR,1456.6554656996905,1,2020-21
2021-05-13,22020,TOR,1446.6349506741806,0,2020-21
2021-05-14,22020,TOR,1438.3971730076396,0,2020-21
2021-05-16,22020,TOR,1435.5701383013327,1,2020-21
2021-10-20,22021,TOR,1453.8878723729108,1,2021-22
2021-10-22,22021,TOR,1440.7243979516472,0,2021-22
2021-10-23,22021,TOR,1472.7488427899934,1,2021-22
2021-10-25,22021,TOR,1463.5175193368457,1,2021-22
2021-10-27,22021,TOR,1458.0697495764791,1,2021-22
2021-10-29,22021,TOR,1471.9605668500571,1,2021-22
2021-10-30,22021,TOR,1473.9140401620366,0,2021-22
2021-11-01,22021,TOR,1480.3630812243196,0,2021-22
2021-11-03,22021,TOR,1495.789636645343,0,2021-22
2021-11-05,22021,TOR,1508.8199397928206,1,2021-22
2021-11-07,22021,TOR,1502.8150001809058,1,2021-22
2021-11-10,22021,TOR,1490.7832333032484,0,2021-22
2021-11-11,22021,TOR,1479.152982844755,0,2021-22
2021-11-13,22021,TOR,1491.72939084207,1,2021-22
2021-11-15,22021,TOR,1478.5071830747909,0,2021-22
2021-11-18,22021,TOR,1473.9886610448104,0,2021-22
2021-11-19,22021,TOR,1467.7953771459563,0,2021-22
2021-11-21,22021,TOR,1486.2731945512385,0,2021-22
2021-11-24,22021,TOR,1480.4413352521165,0,2021-22
2021-11-26,22021,TOR,1494.682786493871,0,2021-22
2021-11-28,22021,TOR,1483.663028542676,1,2021-22
2021-11-30,22021,TOR,1470.5223138120443,1,2021-22
2021-12-02,22021,TOR,1460.03867997475,1,2021-22
2021-12-05,22021,TOR,1468.145529379373,1,2021-22
2021-12-08,22021,TOR,1478.7681529655465,1,2021-22
2021-12-10,22021,TOR,1471.3176787631066,1,2021-22
2021-12-13,22021,TOR,1476.4160142023982,1,2021-22
2021-12-14,22021,TOR,1488.5278464293608,0,2021-22
2021-12-18,22021,TOR,1485.923869327797,1,2021-22
2021-12-26,22021,TOR,1509.782951838551,0,2021-22
2021-12-28,22021,TOR,1492.1256084249787,1,2021-22
2021-12-31,22021,TOR,1485.081538710962,1,2021-22
2022-01-02,22021,TOR,1492.9746841774274,1,2021-22
2022-01-04,22021,TOR,1503.612133343414,1,2021-22
2022-01-05,22021,TOR,1519.6187567358058,0,2021-22
2022-01-07,22021,TOR,1530.4591622749335,1,2021-22
2022-01-09,22021,TOR,1548.5551812836495,1,2021-22
2022-01-11,22021,TOR,1551.937659740741,1,2021-22
2022-01-14,22021,TOR,1546.3959111501506,0,2021-22
2022-01-15,22021,TOR,1523.2574786528926,0,2021-22
2022-01-17,22021,TOR,1535.0539478034796,0,2021-22
2022-01-19,22021,TOR,1530.4440174725078,0,2021-22
2022-01-21,22021,TOR,1526.4159008039037,0,2021-22
2022-01-23,22021,TOR,1532.7284507875936,1,2021-22
2022-01-25,22021,TOR,1517.5492507052031,1,2021-22
2022-01-26,22021,TOR,1526.9957234251413,0,2021-22
2022-01-29,22021,TOR,1519.9279074678686,0,2021-22
2022-01-31,22021,TOR,1529.6630909079126,0,2021-22
2022-02-01,22021,TOR,1538.616522506381,1,2021-22
2022-02-03,22021,TOR,1544.6220195185304,1,2021-22
2022-02-04,22021,TOR,1550.6445519283827,1,2021-22
2022-02-07,22021,TOR,1558.8832858769113,0,2021-22
2022-02-09,22021,TOR,1571.032704063431,0,2021-22
2022-02-10,22021,TOR,1579.219085967166,0,2021-22
2022-02-12,22021,TOR,1585.1282231479254,1,2021-22
2022-02-14,22021,TOR,1579.9686913218186,0,2021-22
2022-02-16,22021,TOR,1552.3609156488226,0,2021-22
2022-02-25,22021,TOR,1566.370581457534,0,2021-22
2022-02-26,22021,TOR,1538.0909055455218,0,2021-22
2022-02-28,22021,TOR,1519.6422449243946,0,2021-22
2022-03-01,22021,TOR,1542.7354978722333,1,2021-22
2022-03-03,22021,TOR,1544.706102165404,1,2021-22
2022-03-04,22021,TOR,1534.5264535753531,1,2021-22
2022-03-06,22021,TOR,1519.0995597072306,0,2021-22
2022-03-09,22021,TOR,1511.6218185764926,0,2021-22
2022-03-11,22021,TOR,1525.7075620378707,0,2021-22
2022-03-12,22021,TOR,1538.8436989143968,0,2021-22
2022-03-14,22021,TOR,1554.6390706203238,0,2021-22
2022-03-16,22021,TOR,1562.466832988896,0,2021-22
2022-03-18,22021,TOR,1567.3466557418342,1,2021-22
2022-03-20,22021,TOR,1554.2696914498224,0,2021-22
2022-03-21,22021,TOR,1563.251344673151,0,2021-22
2022-03-24,22021,TOR,1549.3318638765911,1,2021-22
2022-03-26,22021,TOR,1557.7375080893005,1,2021-22
2022-03-28,22021,TOR,1568.8713270220292,1,2021-22
2022-03-30,22021,TOR,1576.40176429317,1,2021-22
2022-04-01,22021,TOR,1592.7506671834926,0,2021-22
2022-04-03,22021,TOR,1597.299610859813,1,2021-22
2022-04-05,22021,TOR,1588.840737207316,1,2021-22
2022-04-07,22021,TOR,1596.36641801296,1,2021-22
2022-04-08,22021,TOR,1602.1264054766757,1,2021-22
2022-04-10,22021,TOR,1603.0746908002332,0,2021-22
2022-10-19,22022,TOR,1554.103250265887,1,2022-23
2022-10-21,22022,TOR,1557.6525568370078,0,2022-23
2022-10-22,22022,TOR,1551.1592396917,0,2022-23
2022-10-24,22022,TOR,1546.2424446541384,0,2022-23
2022-10-26,22022,TOR,1556.8231538020902,1,2022-23
2022-10-28,22022,TOR,1564.7138433680411,1,2022-23
2022-10-31,22022,TOR,1541.4003416970895,1,2022-23
2022-11-02,22022,TOR,1559.1356747305306,0,2022-23
2022-11-04,22022,TOR,1587.618022616678,0,2022-23
2022-11-06,22022,TOR,1584.044591213713,1,2022-23
2022-11-07,22022,TOR,1589.5870296744858,0,2022-23
2022-11-09,22022,TOR,1574.489358980779,1,2022-23
2022-11-11,22022,TOR,1577.0058872251907,0,2022-23
2022-11-12,22022,TOR,1553.382624191495,0,2022-23
2022-11-14,22022,TOR,1537.0742054917373,0,2022-23
2022-11-16,22022,TOR,1541.0205336145568,1,2022-23
2022-11-19,22022,TOR,1548.2781200636186,0,2022-23
2022-11-23,22022,TOR,1544.2510651489922,1,2022-23
2022-11-26,22022,TOR,1526.9422637335315,1,2022-23
2022-11-28,22022,TOR,1533.147710726257,1,2022-23
2022-11-30,22022,TOR,1543.9030311288643,0,2022-23
2022-12-02,22022,TOR,1532.28009289339,0,2022-23
2022-12-03,22022,TOR,1524.1203006023104,1,2022-23
2022-12-05,22022,TOR,1528.702503682985,1,2022-23
2022-12-07,22022,TOR,1523.4221948964494,1,2022-23
2022-12-09,22022,TOR,1531.604202019927,0,2022-23
2022-12-11,22022,TOR,1522.1044653404865,0,2022-23
2022-12-14,22022,TOR,1505.5391748499585,1,2022-23
2022-12-16,22022,TOR,1500.847375820496,1,2022-23
2022-12-18,22022,TOR,1495.2619453432271,1,2022-23
2022-12-19,22022,TOR,1480.358466686651,0,2022-23
2022-12-21,22022,TOR,1477.2926165905735,0,2022-23
2022-12-23,22022,TOR,1490.9462926035608,0,2022-23
2022-12-27,22022,TOR,1508.6495640582689,1,2022-23
2022-12-29,22022,TOR,1495.6173092935433,1,2022-23
2022-12-30,22022,TOR,1484.862252003963,1,2022-23
2023-01-02,22022,TOR,1494.962739767908,0,2022-23
2023-01-04,22022,TOR,1487.2102325220687,1,2022-23
2023-01-06,22022,TOR,1481.6070754307286,1,2022-23
2023-01-08,22022,TOR,1475.91833527474,1,2022-23
2023-01-10,22022,TOR,1484.714707562998,1,2022-23
2023-01-12,22022,TOR,1491.4586288364485,1,2022-23
2023-01-14,22022,TOR,1497.10494297126,1,2022-23
2023-01-16,22022,TOR,1482.708985738754,0,2022-23
2023-01-17,22022,TOR,1490.245590420366,0,2022-23
2023-01-19,22022,TOR,1483.4259238411742,0,2022-23
2023-01-21,22022,TOR,1479.508960783705,1,2022-23
2023-01-22,22022,TOR,1476.5667173937957,1,2022-23
2023-01-25,22022,TOR,1486.5999700717873,0,2022-23
2023-01-27,22022,TOR,1509.0749904028062,0,2022-23
2023-01-28,22022,TOR,1499.796346279146,0,2022-23
2023-01-30,22022,TOR,1515.767657370599,0,2022-23
2023-02-01,22022,TOR,1508.1354780118847,0,2022-23
2023-02-03,22022,TOR,1503.5325302263632,0,2022-23
2023-02-05,22022,TOR,1508.0648295655162,0,2022-23
2023-02-08,22022,TOR,1515.9803932767547,1,2022-23
2023-02-10,22022,TOR,1519.753538002428,1,2022-23
2023-02-12,22022,TOR,1508.908755447625,1,2022-23
2023-02-14,22022,TOR,1510.4776222708133,1,2022-23
2023-02-23,22022,TOR,1517.9633107957306,1,2022-23
2023-02-25,22022,TOR,1523.0739696961878,0,2022-23
2023-02-26,22022,TOR,1526.6896317648104,0,2022-23
2023-02-28,22022,TOR,1514.4183785543828,1,2022-23
2023-03-02,22022,TOR,1520.8040674359827,0,2022-23
2023-03-04,22022,TOR,1511.4203133195992,0,2022-23
2023-03-06,22022,TOR,1521.7833266686755,0,2022-23
2023-03-08,22022,TOR,1518.222678210699,0,2022-23
2023-03-10,22022,TOR,1510.3246878760024,0,2022-23
2023-03-14,22022,TOR,1501.8056383399148,1,2022-23
2023-03-16,22022,TOR,1516.5630009148092,1,2022-23
2023-03-18,22022,TOR,1529.424301786794,1,2022-23
2023-03-19,22022,TOR,1539.886827544294,0,2022-23
2023-03-22,22022,TOR,1535.1960029688737,1,2022-23
2023-03-24,22022,TOR,1524.7689181463925,1,2022-23
2023-03-26,22022,TOR,1529.3791755366103,1,2022-23
2023-03-28,22022,TOR,1535.6200823250776,1,2022-23
2023-03-31,22022,TOR,1544.6819767257975,0,2022-23
2023-04-02,22022,TOR,1539.9189815530722,0,2022-23
2023-04-04,22022,TOR,1551.0788116694032,0,2022-23
2023-04-05,22022,TOR,1561.179279585088,0,2022-23
2023-04-07,22022,TOR,1557.6208922725548,0,2022-23
2023-04-09,22022,TOR,1549.0193666437754,1,2022-23
2023-10-25,22023,TOR,1537.9932466257876,1,2023-24
2023-10-27,22023,TOR,1542.2282555610889,0,2023-24
2023-10-28,22023,TOR,1538.3790049785284,1,2023-24
2023-10-30,22023,TOR,1529.3120650754884,1,2023-24
2023-11-01,22023,TOR,1512.7515627613293,1,2023-24
2023-11-02,22023,TOR,1527.3980269961137,0,2023-24
2023-11-05,22023,TOR,1518.6640824109363,0,2023-24
2023-11-08,22023,TOR,1525.3168559542155,0,2023-24
2023-11-11,22023,TOR,1538.0055874603258,0,2023-24
2023-11-13,22023,TOR,1528.2501587447755,1,2023-24
2023-11-15,22023,TOR,1531.5856631834388,1,2023-24
2023-11-17,22023,TOR,1514.7925271467186,1,2023-24
2023-11-19,22023,TOR,1511.0280244937503,1,2023-24
2023-11-21,22023,TOR,1519.1202632946868,0,2023-24
2023-11-22,22023,TOR,1505.468804015554,0,2023-24
2023-11-24,22023,TOR,1510.021369337452,1,2023-24
2023-11-26,22023,TOR,1517.913068817556,0,2023-24
2023-11-28,22023,TOR,1513.3149570637374,0,2023-24
2023-11-29,22023,TOR,1503.888443395791,1,2023-24
2023-12-01,22023,TOR,1512.7056073960111,1,2023-24
2023-12-06,22023,TOR,1500.9332430409925,1,2023-24
2023-12-08,22023,TOR,1490.4979915513482,0,2023-24
2023-12-11,22023,TOR,1483.4024506487876,0,2023-24
2023-12-13,22023,TOR,1478.9027977463968,1,2023-24
2023-12-15,22023,TOR,1486.0530810055768,1,2023-24
2023-12-18,22023,TOR,1465.43221096641,1,2023-24
2023-12-20,22023,TOR,1472.149386634849,1,2023-24
2023-12-22,22023,TOR,1464.4337649907586,0,2023-24
2023-12-23,22023,TOR,1460.6788133390237,1,2023-24
2023-12-27,22023,TOR,1448.8759863694863,0,2023-24
2023-12-29,22023,TOR,1467.5631923511382,0,2023-24
2023-12-30,22023,TOR,1466.3052951125323,0,2023-24
2024-01-01,22023,TOR,1458.233590175589,1,2023-24
2024-01-03,22023,TOR,1464.477546088107,0,2023-24
2024-01-05,22023,TOR,1471.7785311425498,0,2023-24
2024-01-07,22023,TOR,1467.1029683770712,0,2023-24
2024-01-09,22023,TOR,1485.613528891881,0,2023-24
2024-01-10,22023,TOR,1482.1462377710814,0,2023-24
2024-01-12,22023,TOR,1478.6687421448362,0,2023-24
2024-01-15,22023,TOR,1462.632111991304,1,2023-24
2024-01-17,22023,TOR,1458.1615160713257,1,2023-24
2024-01-18,22023,TOR,1479.5176269750275,1,2023-24
2024-01-20,22023,TOR,1470.2109668867436,0,2023-24
2024-01-22,22023,TOR,1461.4092432973446,1,2023-24
2024-01-26,22023,TOR,1449.9101309053167,1,2023-24
2024-01-28,22023,TOR,1440.740512641615,0,2023-24
2024-01-30,22023,TOR,1436.878831563135,0,2023-24
2024-02-02,22023,TOR,1452.5509817436198,0,2023-24
2024-02-04,22023,TOR,1435.649672577167,0,2023-24
2024-02-05,22023,TOR,1432.613760851808,0,2023-24
2024-02-07,22023,TOR,1421.59471499134,0,2023-24
2024-02-09,22023,TOR,1426.365993415849,1,2023-24
2024-02-10,22023,TOR,1431.7876217157132,1,2023-24
2024-02-12,22023,TOR,1423.4145253988024,1,2023-24
2024-02-14,22023,TOR,1392.3406219415713,1,2023-24
2024-02-22,22023,TOR,1388.7670788342657,1,2023-24
2024-02-23,22023,TOR,1409.75217597993,0,2023-24
2024-02-26,22023,TOR,1415.6999779076898,0,2023-24
2024-02-28,22023,TOR,1431.2012309109218,1,2023-24
2024-03-01,22023,TOR,1422.2752577818787,1,2023-24
2024-03-03,22023,TOR,1413.7489305050476,1,2023-24
2024-03-05,22023,TOR,1417.561967863919,1,2023-24
2024-03-07,22023,TOR,1401.7177113983,0,2023-24
2024-03-09,22023,TOR,1398.5444152299144,0,2023-24
2024-03-11,22023,TOR,1387.696096260598,0,2023-24
2024-03-13,22023,TOR,1385.5808885814204,0,2023-24
2024-03-15,22023,TOR,1375.031026052534,1,2023-24
2024-03-17,22023,TOR,1367.9308001276086,0,2023-24
2024-03-20,22023,TOR,1362.583470338482,1,2023-24
2024-03-22,22023,TOR,1349.3901608653516,1,2023-24
2024-03-23,22023,TOR,1343.256521271424,0,2023-24
2024-03-25,22023,TOR,1337.449828331395,1,2023-24
2024-03-27,22023,TOR,1329.2995654127922,1,2023-24
2024-03-31,22023,TOR,1317.1104465481956,1,2023-24
2024-04-02,22023,TOR,1307.6949016213582,1,2023-24
2024-04-03,22023,TOR,1301.5095491748236,0,2023-24
2024-04-05,22023,TOR,1297.4331308389835,0,2023-24
2024-04-07,22023,TOR,1314.762261158729,1,2023-24
2024-04-09,22023,TOR,1321.215268049827,1,2023-24
2024-04-10,22023,TOR,1315.4343528177133,0,2023-24
2024-04-12,22023,TOR,1312.167743283767,0,2023-24
2024-04-14,22023,TOR,1307.5166387452998,0,2023-24
2024-10-23,22024,TOR,1382.4710666581996,1,2024-25
2024-10-25,22024,TOR,1365.8825577958914,1,2024-25
2024-10-26,22024,TOR,1377.9223949701177,0,2024-25
2024-10-28,22024,TOR,1374.395077966229,1,2024-25
2024-10-30,22024,TOR,1371.7038419528835,0,2024-25
2024-11-01,22024,TOR,1366.4251429888811,1,2024-25
2024-11-02,22024,TOR,1361.8624907305,1,2024-25
2024-11-04,22024,TOR,1370.2842425880058,0,2024-25
2024-11-06,22024,TOR,1368.766683879628,0,2024-25
2024-11-09,22024,TOR,1363.6605164691323,0,2024-25
2024-11-10,22024,TOR,1361.8980634296986,0,2024-25
2024-11-12,22024,TOR,1355.397859053969,0,2024-25
2024-11-15,22024,TOR,1348.8904893336862,1,2024-25
2024-11-16,22024,TOR,1342.6826536449555,0,2024-25
2024-11-18,22024,TOR,1341.8064264499994,1,2024-25
2024-11-21,22024,TOR,1358.4282731794017,1,2024-25
2024-11-24,22024,TOR,1369.6539175546914,0,2024-25
2024-11-25,22024,TOR,1366.6204469737927,0,2024-25
2024-11-27,22024,TOR,1363.2050838503224,0,2024-25
2024-11-29,22024,TOR,1391.3141104408771,0,2024-25
2024-12-01,22024,TOR,1386.7295855066511,1,2024-25
2024-12-03,22024,TOR,1394.4254733837406,1,2024-25
2024-12-05,22024,TOR,1406.0393773643457,1,2024-25
2024-12-07,22024,TOR,1395.7797513289042,1,2024-25
